id,intercept,slope
0,5.340739,-0.975585
1,545.335246,0.834529
2,490.829188,-0.213904
3,244.636372,-0.533433
4,482.467116,-0.892026
5,989.074374,0.828059
6,411.114841,-0.566698
7,71.291238,0.417585
8,646.626179,-0.163060
9,437.971129,0.200964
10,271.828364,0.631520
11,905.972472,0.562975
12,280.465102,-0.570299
13,193.365276,-0.628224
14,105.136265,-0.773247
15,921.109653,-0.780450
16,881.618702,0.064791
17,241.279336,0.901120
18,355.510117,0.841609
19,249.244667,0.193579
20,838.312937,0.826411
21,834.467605,-0.000946
22,117.801447,-0.554491
23,127.597888,0.913450
24,730.460524,-0.100558
25,199.346904,0.283181
26,500.778222,-0.824824
27,167.455061,0.812922
28,755.180517,0.015046
29,368.266854,0.786493
30,115.237892,-0.595019
31,748.863186,0.963622
32,277.779473,-0.854366
33,136.265145,0.214942
34,687.307352,-0.933042
35,539.933470,0.957823
36,507.370220,0.450667
37,143.345439,0.455428
38,796.807764,0.221534
39,141.666921,-0.958556
40,297.677541,-0.528611
41,81.270791,-0.666494
42,740.440077,0.877377
43,857.295450,-0.503159
44,73.000275,0.576769
45,25.818659,0.621570
46,520.096438,-0.937925
47,586.779382,-0.724479
48,878.719443,0.658132
49,893.642994,-0.704093
50,956.205939,0.142491
51,846.491897,-0.119053
52,557.267983,0.074984
53,24.384289,0.045320
54,925.901059,-0.605396
55,913.632618,0.501328
56,48.829615,0.850276
57,887.722404,-0.971679
58,726.371044,-0.175573
59,95.767083,0.392682
60,817.224647,0.115329
61,915.311136,0.881466
62,563.188574,-0.762322
63,125.522629,0.511399
64,400.463881,0.805780
65,457.930235,0.976684
66,163.396100,0.560839
67,679.860836,0.397015
68,86.886196,-0.393902
69,867.458113,0.929380
70,514.114811,-0.589343
71,24.689474,0.305216
72,715.567492,0.145726
73,703.848384,-0.643788
74,725.455489,0.915281
75,784.600360,0.590686
76,602.282785,-0.556200
77,67.232276,-0.117038
78,19.074068,-0.216224
79,837.061678,0.339518
80,590.380566,-0.395306
81,55.024873,0.402142
82,841.395306,-0.372906
83,332.255013,-0.747429
84,226.355785,0.763359
85,343.699454,-0.419233
86,101.718192,-0.472030
87,837.458419,0.777886
88,60.762352,-0.719657
89,896.176031,0.618641
90,535.782952,-0.138646
91,606.524857,0.493637
92,73.976867,-0.812372
93,793.450728,0.255654
94,193.792535,-0.635060
95,974.547563,-0.259011
96,226.966155,0.883663
97,191.961425,-0.970214
98,53.865169,-0.541002
99,877.254555,0.506821
100,137.058626,-0.921751
101,405.560472,0.785150
102,760.307627,-0.182775
103,495.712149,-0.443525
104,878.719443,-0.011139
105,112.308115,-0.570788
106,486.678671,-0.813349
107,25.696585,-0.183020
108,909.360027,-0.215125
109,686.849574,0.941282
110,924.436171,-0.541856
111,572.344127,-0.990844
112,120.090335,0.283609
113,657.094028,0.629810
114,395.825068,0.986816
115,169.499802,-0.468856
116,11.597034,-0.104709
117,286.599322,-0.359416
118,92.562639,-0.838191
119,924.527726,-0.409223
120,994.811853,-0.181310
121,281.289102,0.714286
122,438.764611,0.227515
123,287.545396,-0.411542
124,816.583758,-0.514084
125,621.753594,-0.805780
126,579.363384,0.353069
127,446.211127,-0.249916
128,110.812708,-0.741813
129,520.004883,-0.715384
130,993.499557,-0.047029
131,845.057527,-0.990173
132,73.885311,0.371136
133,501.754814,-0.442183
134,232.612079,-0.742485
135,830.164495,-0.857112
136,265.694143,0.129673
137,613.330485,-0.287454
138,783.867916,-0.867122
139,418.591876,0.148473
140,535.203101,0.353801
141,753.685110,0.581530
142,58.290353,-0.848323
143,192.999054,0.882199
144,71.413312,-0.926389
145,131.473739,-0.610767
146,504.318369,0.912961
147,321.085238,0.939390
148,579.058199,-0.525071
149,847.163305,0.259987
150,845.698416,0.612720
151,700.186163,-0.212317
152,579.393902,0.094150
153,599.810785,-0.024628
154,445.051424,0.864315
155,226.752525,-0.850276
156,835.963012,0.263955
157,519.394513,0.982421
158,792.168950,-0.231483
159,190.954314,0.636402
160,905.484176,0.808466
161,123.661000,-0.348796
162,117.007965,-0.765862
163,796.136357,0.628834
164,813.440352,-0.011505
165,400.189215,-0.217383
166,128.330332,0.548021
167,803.430280,0.412214
168,855.037080,0.697073
169,13.489181,-0.633534
170,876.766259,-0.804559
171,301.126133,-0.442244
172,520.859401,0.904477
173,636.951811,0.588916
174,743.064669,0.930723
175,599.475082,0.556139
176,547.807245,-0.646290
177,409.833064,-0.909543
178,551.561022,-0.903073
179,249.916074,0.699820
180,94.668416,0.506027
181,519.547105,0.474044
182,808.343760,-0.803156
183,189.855647,-0.783807
184,43.061617,0.735710
185,908.352916,0.062105
186,64.485611,0.713004
187,12.024293,-0.349773
188,423.169652,-0.224281
189,105.533006,-0.094699
190,404.431288,0.177709
191,359.172338,-0.502609
192,964.506973,-0.586840
193,184.606464,-0.960326
194,59.175390,-0.506088
195,443.403424,-0.913633
