variant,n,mean_time,sd_time,ci95_lo,ci95_hi,mean_certs,sd_certs
V0_eager_no_LPE,10000,0.007767,0.001216,0.007313,0.008221,11232,236
V1_LPE_only,10000,0.007018,0.000676,0.006766,0.007271,11232,236
V2_LPE_plus_FHEQ,10000,0.007492,0.000898,0.007156,0.007827,11232,236
V3_full_KHpp,10000,0.007448,0.000959,0.007090,0.007806,11232,236
V0_eager_no_LPE,100000,0.122398,0.003403,0.121128,0.123669,113558,860
V1_LPE_only,100000,0.122540,0.006666,0.120051,0.125028,113558,860
V2_LPE_plus_FHEQ,100000,0.122816,0.006040,0.120561,0.125071,113558,860
V3_full_KHpp,100000,0.122913,0.009693,0.119294,0.126532,113558,860
V0_eager_no_LPE,1000000,2.513092,0.150447,2.456921,2.569264,1135205,3087
V1_LPE_only,1000000,2.715360,0.438549,2.551622,2.879099,1135205,3087
V2_LPE_plus_FHEQ,1000000,2.553635,0.230971,2.467399,2.639872,1135205,3087
V3_full_KHpp,1000000,2.520147,0.211651,2.441124,2.599170,1135205,3087
